WORKING MODEL TRIAL 7-2-actuated,,,,,,,,,,
 0:18:04  7/27/2021,,,,,,,,,,
Total Force on Circle 1          ,,,,Time,,Velocity of Center of Mass of Circle 1,,,,
t,Fx,Fy,|F|,frame,t,t,Vx,Vy,|V|,
0,-2.55E-23,-19.842,19.842,0,0,0,0,0,0,-
0.001,0.000007,-19.842009,19.842009,1,0.001,0.001,-0.070688,-0.081255,0.107699,-
0.002,0.000007,-19.842005,19.842005,2,0.002,0.002,-0.244283,-0.159053,0.2915,-
0.003,0.000007,-19.842005,19.842005,3,0.003,0.003,-0.210601,-0.162559,0.266042,-
0.004,0.000007,-19.842005,19.842005,4,0.004,0.004,-0.176866,-0.166096,0.24263,-
0.005,0.000007,-19.842004,19.842004,5,0.005,0.005,-0.143079,-0.169673,0.221947,-
0.006,0.000007,-19.842004,19.842004,6,0.006,0.006,-0.109239,-0.173276,0.204836,-
0.007,0.000007,-19.842004,19.842004,7,0.007,0.007,-0.075345,-0.176905,0.192282,-
0.008,0.000007,-19.842004,19.842004,8,0.008,0.008,-0.041397,-0.18056,0.185244,-
0.009,0.000007,-19.842004,19.842004,9,0.009,0.009,-0.007394,-0.18424,0.184389,-
0.01,0.000007,-19.842003,19.842003,10,0.01,0.01,0.026662,-0.187963,0.189844,-
0.011,0.000007,-19.842003,19.842003,11,0.011,0.011,0.060773,-0.191715,0.201116,-
0.012,0.000007,-19.842003,19.842003,12,0.012,0.012,0.094938,-0.195493,0.217326,-
0.013,0.000007,-19.842003,19.842003,13,0.013,0.013,0.129158,-0.199299,0.237491,-
0.014,0.000007,-19.842002,19.842002,14,0.014,0.014,0.163434,-0.203131,0.260716,-
0.015,0.000007,-19.842002,19.842002,15,0.015,0.015,0.197767,-0.206992,0.286282,-
0.016,0.000007,-19.842002,19.842002,16,0.016,0.016,0.232153,-0.210896,0.313643,-
0.017,0.000007,-19.842002,19.842002,17,0.017,0.017,0.266595,-0.214827,0.342379,-
0.018,0.000007,-19.842002,19.842002,18,0.018,0.018,0.301093,-0.218786,0.372189,-
0.019,0.000007,-19.842001,19.842001,19,0.019,0.019,0.335648,-0.222772,0.402849,-
0.02,0.000007,-19.842001,19.842001,20,0.02,0.02,0.370261,-0.226787,0.434195,-
0.021,0.000007,-19.842001,19.842001,21,0.021,0.021,0.404932,-0.230831,0.466104,-
0.022,0.000007,-19.842001,19.842001,22,0.022,0.022,0.439658,-0.234915,0.498482,-
0.023,0.000007,-19.842,19.842,23,0.023,0.023,0.474443,-0.239027,0.531253,-
0.024,0.000007,-19.842,19.842,24,0.024,0.024,0.509286,-0.243169,0.564361,-
0.025,0.000007,-19.842,19.842,25,0.025,0.025,0.544187,-0.247339,0.59776,-
0.026,0.000007,-19.842,19.842,26,0.026,0.026,0.579148,-0.25154,0.631415,-
0.027,0.000007,-19.841999,19.841999,27,0.027,0.027,0.614169,-0.25577,0.665298,-
0.028,0.000007,-19.841999,19.841999,28,0.028,0.028,0.649247,-0.260042,0.699388,-
0.029,0.000007,-19.841999,19.841999,29,0.029,0.029,0.684385,-0.264345,0.733663,-
0.03,0.000007,-19.841999,19.841999,30,0.03,0.03,0.719582,-0.268679,0.768106,-
0.031,0.000007,-19.841999,19.841999,31,0.031,0.031,0.754841,-0.273043,0.802706,-
0.032,0.000007,-19.841998,19.841998,32,0.032,0.032,0.79016,-0.277438,0.837451,-
0.033,0.000007,-19.841998,19.841998,33,0.033,0.033,0.82554,-0.281864,0.872333,-
0.034,0.000007,-19.841998,19.841998,34,0.034,0.034,0.860983,-0.286325,0.907344,-
0.035,0.000007,-19.841998,19.841998,35,0.035,0.035,0.896485,-0.290826,0.942478,-
0.036,0.000007,-19.841997,19.841997,36,0.036,0.036,0.93205,-0.295358,0.977729,-
0.037,0.000007,-19.841997,19.841997,37,0.037,0.037,0.967677,-0.299922,1.01309,-
0.038,0.000007,-19.841997,19.841997,38,0.038,0.038,1.003367,-0.304519,1.048559,-
0.039,0.000007,-19.841997,19.841997,39,0.039,0.039,1.03912,-0.309148,1.084132,-
0.04,0.000007,-19.841996,19.841996,40,0.04,0.04,1.074937,-0.31381,1.119806,-
0.041,0.000007,-19.841996,19.841996,41,0.041,0.041,1.110817,-0.318508,1.155579,-
0.042,0.000007,-19.841996,19.841996,42,0.042,0.042,1.146761,-0.323247,1.191449,-
0.043,0.000007,-19.841996,19.841996,43,0.043,0.043,1.182769,-0.328019,1.227412,-
0.044,0.000007,-19.841995,19.841995,44,0.044,0.044,1.218842,-0.332825,1.263467,-
0.045,0.000006,-19.841995,19.841995,45,0.045,0.045,1.254981,-0.337665,1.299613,-
0.046,0.000006,-19.841995,19.841995,46,0.046,0.046,1.291185,-0.342539,1.335848,-
0.047,0.000006,-19.841995,19.841995,47,0.047,0.047,1.327455,-0.347448,1.372173,-
0.048,0.000006,-19.841994,19.841994,48,0.048,0.048,1.363793,-0.352393,1.408585,-
