WORKING MODEL TRIAL 7-2,,,,,,,,,,
7/26/21 22:12,,,,,,,,,,
Total Force on Circle 1          ,,,,Time,,Velocity of Center of Mass of Circle 1,,,,
t,Fx,Fy,|F|,frame,t,t,Vx,Vy,|V|,
0,-1.43E-16,-19.842,19.842,0,0,0,100,0,100,-
0.001,9.57E-11,-19.842,19.842,1,0.001,0.001,99.949478,-0.386089,99.950224,-
0.002,9.60E-10,-19.842,19.842,2,0.002,0.002,99.865729,-0.408105,99.866563,-
0.003,2.69E-09,-19.842001,19.842001,3,0.003,0.003,99.780456,-0.423491,99.781355,-
0.004,5.11E-09,-19.842002,19.842002,4,0.004,0.004,99.695182,-0.438878,99.696148,-
0.005,8.01E-09,-19.842004,19.842004,5,0.005,0.005,99.609911,-0.454275,99.610947,-
0.006,1.11E-08,-19.842006,19.842006,6,0.006,0.006,99.524645,-0.469695,99.525754,-
0.007,1.39E-08,-19.842008,19.842008,7,0.007,0.007,99.439387,-0.485149,99.440571,-
0.008,1.61E-08,-19.842011,19.842011,8,0.008,0.008,99.35414,-0.50065,99.355401,-
0.009,1.71E-08,-19.842014,19.842014,9,0.009,0.009,99.268907,-0.516214,99.27025,-
0.01,1.64E-08,-19.842018,19.842018,10,0.01,0.01,99.183691,-0.531851,99.185117,-
0.011,1.32E-08,-19.842021,19.842021,11,0.011,0.011,99.098494,-0.547568,99.100007,-
0.012,6.90E-09,-19.842026,19.842026,12,0.012,0.012,99.013318,-0.56338,99.014921,-
0.013,-3.40E-09,-19.84203,19.84203,13,0.013,0.013,98.928169,-0.579307,98.929865,-
0.014,-1.86E-08,-19.842036,19.842036,14,0.014,0.014,98.843046,-0.595349,98.844839,-
0.015,-3.95E-08,-19.842041,19.842041,15,0.015,0.015,98.757952,-0.611515,98.759845,-
0.016,-6.73E-08,-19.842047,19.842047,16,0.016,0.016,98.672893,-0.627836,98.674891,-
0.017,-1.03E-07,-19.842053,19.842053,17,0.017,0.017,98.587868,-0.644305,98.589974,-
0.018,-1.48E-07,-19.84206,19.84206,18,0.018,0.018,98.50288,-0.660932,98.505098,-
0.019,-2.03E-07,-19.842067,19.842067,19,0.019,0.019,98.417935,-0.677748,98.420269,-
0.02,-2.70E-07,-19.842075,19.842075,20,0.02,0.02,98.333031,-0.69474,98.335485,-
0.021,-3.50E-07,-19.842082,19.842082,21,0.021,0.021,98.248173,-0.711934,98.250753,-
0.022,-4.45E-07,-19.842091,19.842091,22,0.022,0.022,98.163364,-0.729338,98.166073,-
0.023,-5.55E-07,-19.842099,19.842099,23,0.023,0.023,98.078602,-0.746951,98.081447,-
0.024,-6.84E-07,-19.842108,19.842108,24,0.024,0.024,97.993897,-0.764806,97.996881,-
0.025,-8.31E-07,-19.842118,19.842118,25,0.025,0.025,97.909239,-0.782871,97.912369,-
0.026,-0.000001,-19.842128,19.842128,26,0.026,0.026,97.824643,-0.801201,97.827923,-
0.027,-0.000001,-19.842138,19.842138,27,0.027,0.027,97.740101,-0.819772,97.743539,-
0.028,-0.000001,-19.842149,19.842149,28,0.028,0.028,97.655625,-0.838625,97.659226,-
0.029,-0.000002,-19.84216,19.84216,29,0.029,0.029,97.571208,-0.857738,97.574979,-
0.03,-0.000002,-19.842171,19.842171,30,0.03,0.03,97.486862,-0.877154,97.490808,-
0.031,-0.000002,-19.842183,19.842183,31,0.031,0.031,97.402573,-0.896824,97.406702,-
0.032,-0.000003,-19.842195,19.842195,32,0.032,0.032,97.318358,-0.916811,97.322676,-
0.033,-0.000003,-19.842208,19.842208,33,0.033,0.033,97.234209,-0.937085,97.238724,-
